Year,Population,Population_male,Population_female,ISO3,Population id,Cancer label,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total,Region Name,Year_Units,RT_m,GDP_per_capita,TAC,GammaC,MRI,Mammography,PET
2015,105312992.0,52836545.0,52476447.0,PHL,608,Lung,Female,Incidence,12.46415648,9.679676705,1.400611196,327,Western Pacific,2010,0.19,2909.85818010301,1.15,,0.32,14.94,
2015,105312992.0,52836545.0,52476447.0,PHL,608,Lung,Female,Mortality,6.789446726,5.047938545,0.7914825732,2648,Western Pacific,2010,0.19,2909.85818010301,1.15,,0.32,14.94,
2015,105312992.0,52836545.0,52476447.0,PHL,608,Breast,Female,Incidence,53.76568022,46.53349168,5.753047802,1572,Western Pacific,2010,0.19,2909.85818010301,1.15,,0.32,14.94,
2015,105312992.0,52836545.0,52476447.0,PHL,608,Breast,Female,Mortality,18.36212133,14.71489337,2.013077305,7719,Western Pacific,2010,0.19,2909.85818010301,1.15,,0.32,14.94,
2015,105312992.0,52836545.0,52476447.0,PHL,608,Prostate,Male,Incidence,24.98086612,11.88485636,2.533023305,392,Western Pacific,2010,0.19,2909.85818010301,1.15,,0.32,14.94,
2015,105312992.0,52836545.0,52476447.0,PHL,608,Prostate,Male,Mortality,14.32622826,5.426715213,1.107724869,2865,Western Pacific,2010,0.19,2909.85818010301,1.15,,0.32,14.94,
2015,105312992.0,52836545.0,52476447.0,PHL,608,Cervix,Female,Incidence,14.29297766,12.93583706,1.55561985,437,Western Pacific,2010,0.19,2909.85818010301,1.15,,0.32,14.94,
2015,105312992.0,52836545.0,52476447.0,PHL,608,Cervix,Female,Mortality,4.516494552,3.7402022,0.4930264632,1962,Western Pacific,2010,0.19,2909.85818010301,1.15,,0.32,14.94,
2018,109465287.0,54710323.0,54754964.0,PHL,608,Lung,Male,Mortality,19.76326194,11.19349979,2.356320571,6124,Western Pacific,2013,0.18,3168.51036609727,1.09,,0.3,,
2018,109465287.0,54710323.0,54754964.0,PHL,608,Lung,Female,Mortality,6.661117168,5.274407632,0.7713729132,2888,Western Pacific,2013,0.18,3168.51036609727,1.09,,0.3,,
2018,109465287.0,54710323.0,54754964.0,PHL,608,Breast,Female,Mortality,19.36776273,16.35650788,2.123021198,8956,Western Pacific,2013,0.18,3168.51036609727,1.09,,0.3,,
2018,109465287.0,54710323.0,54754964.0,PHL,608,Prostate,Male,Mortality,13.2502363,5.552882487,0.9527850842,3038,Western Pacific,2013,0.18,3168.51036609727,1.09,,0.3,,
2018,109465287.0,54710323.0,54754964.0,PHL,608,Cervix,Female,Mortality,4.962218025,4.339332595,0.5386433957,2376,Western Pacific,2013,0.18,3168.51036609727,1.09,,0.3,,
2015,5525340.0,2887448.0,2637892.0,SGP,702,Lung,Male,Mortality,26.46514285,43.0965216,2.757902631,826,Western Pacific,2010,3.74,55645.6068614606,9.44,,8.26,143.9,
2015,5525340.0,2887448.0,2637892.0,SGP,702,Lung,Female,Mortality,11.29642799,21.90263949,1.149871144,435,Western Pacific,2010,3.74,55645.6068614606,9.44,,8.26,143.9,
2015,5525340.0,2887448.0,2637892.0,SGP,702,Breast,Female,Mortality,12.68213366,21.34877965,1.465752723,424,Western Pacific,2010,3.74,55645.6068614606,9.44,,8.26,143.9,
2015,5525340.0,2887448.0,2637892.0,SGP,702,Prostate,Male,Mortality,5.458682691,8.974094086,0.4027188702,172,Western Pacific,2010,3.74,55645.6068614606,9.44,,8.26,143.9,
2015,5525340.0,2887448.0,2637892.0,SGP,702,Cervix,Female,Mortality,2.063055491,3.524562677,0.2149687545,70,Western Pacific,2010,3.74,55645.6068614606,9.44,,8.26,143.9,
2018,5634369.0,2904611.0,2729758.0,SGP,702,Lung,Male,Mortality,23.14652963,42.64156847,2.321262075,834,Western Pacific,2013,3.51,66881.6067035265,8.87,,7.76,,
2018,5634369.0,2904611.0,2729758.0,SGP,702,Lung,Female,Mortality,8.73726622,18.73977468,0.8584461326,382,Western Pacific,2013,3.51,66881.6067035265,8.87,,7.76,,
2018,5634369.0,2904611.0,2729758.0,SGP,702,Breast,Female,Mortality,12.64598482,22.95867683,1.483636916,468,Western Pacific,2013,3.51,66881.6067035265,8.87,,7.76,,
2018,5634369.0,2904611.0,2729758.0,SGP,702,Prostate,Male,Mortality,5.972476333,11.29950436,0.4602176768,221,Western Pacific,2013,3.51,66881.6067035265,8.87,,7.76,,
2018,5634369.0,2904611.0,2729758.0,SGP,702,Cervix,Female,Mortality,1.714230607,3.090591112,0.1690387583,63,Western Pacific,2013,3.51,66881.6067035265,8.87,,7.76,,
2022,5649885.0,2919697.0,2730188.0,SGP,702,Lung,Male,Mortality,18.28095025,39.54352602,1.935130401,787,Western Pacific,2017,5.13,90299.0694637269,,,,,
2022,5649885.0,2919697.0,2730188.0,SGP,702,Lung,Female,Mortality,8.715502606,21.36314124,0.8687887745,445,Western Pacific,2017,5.13,90299.0694637269,,,,,
2022,5649885.0,2919697.0,2730188.0,SGP,702,Breast,Female,Mortality,10.94087237,23.0433883,1.23659893,480,Western Pacific,2017,5.13,90299.0694637269,,,,,
2022,5649885.0,2919697.0,2730188.0,SGP,702,Prostate,Male,Mortality,5.26663049,12.15950864,0.3973341459,242,Western Pacific,2017,5.13,90299.0694637269,,,,,
2022,5649885.0,2919697.0,2730188.0,SGP,702,Cervix,Female,Mortality,1.608494473,3.072451773,0.1787807703,64,Western Pacific,2017,5.13,90299.0694637269,,,,,
2015,70540795.0,34684565.0,35856230.0,THA,764,Lung,Male,Incidence,27.3017929,40.15529222,3.379845489,1067,South-East Asia,2010,0.94,5688.85335397884,5.77,0.43,,30.82,0.07
2015,70540795.0,34684565.0,35856230.0,THA,764,Lung,Female,Incidence,15.82329977,25.84419642,1.947218532,728,South-East Asia,2010,0.94,5688.85335397884,5.77,0.43,,30.82,0.07
2015,70540795.0,34684565.0,35856230.0,THA,764,Breast,Female,Incidence,31.66804993,46.71835506,3.385069218,1316,South-East Asia,2010,0.94,5688.85335397884,5.77,0.43,,30.82,0.07
2015,70540795.0,34684565.0,35856230.0,THA,764,Prostate,Male,Incidence,7.727945746,11.96755663,0.8698195194,318,South-East Asia,2010,0.94,5688.85335397884,5.77,0.43,,30.82,0.07
2015,70540795.0,34684565.0,35856230.0,THA,764,Cervix,Female,Incidence,11.68835377,17.11113004,1.197659895,482,South-East Asia,2010,0.94,5688.85335397884,5.77,0.43,,30.82,0.07
2015,2921177.0,1343842.0,1577335.0,ARM,51,Lung,Male,Mortality,56.48139699,75.90178012,6.476753802,1020,Europe,2010,1.29,3512.39350276709,2.91,1.29,2.26,21.06,0.0
2015,2921177.0,1343842.0,1577335.0,ARM,51,Lung,Female,Mortality,7.708015566,14.07436782,0.8753673215,222,Europe,2010,1.29,3512.39350276709,2.91,1.29,2.26,21.06,0.0
2015,2921177.0,1343842.0,1577335.0,ARM,51,Breast,Female,Mortality,22.60827059,36.01009424,2.580582768,568,Europe,2010,1.29,3512.39350276709,2.91,1.29,2.26,21.06,0.0
2015,2921177.0,1343842.0,1577335.0,ARM,51,Prostate,Male,Mortality,16.14430277,22.62170702,1.84013647,304,Europe,2010,1.29,3512.39350276709,2.91,1.29,2.26,21.06,0.0
2015,2921177.0,1343842.0,1577335.0,ARM,51,Cervix,Female,Mortality,3.323610535,4.628057886,0.3491290077,73,Europe,2010,1.29,3512.39350276709,2.91,1.29,2.26,21.06,0.0
2018,2909965.0,1341812.0,1568153.0,ARM,51,Lung,Male,Mortality,45.83841283,61.93120271,5.758006546,831,Europe,2013,1.34,4196.00562301769,3.02,1.34,2.35,,0.0
2018,2909965.0,1341812.0,1568153.0,ARM,51,Lung,Female,Mortality,6.045879825,12.0523954,0.605823878,189,Europe,2013,1.34,4196.00562301769,3.02,1.34,2.35,,0.0
2018,2909965.0,1341812.0,1568153.0,ARM,51,Breast,Female,Mortality,15.0636186,25.69902299,1.741778872,403,Europe,2013,1.34,4196.00562301769,3.02,1.34,2.35,,0.0
2018,2909965.0,1341812.0,1568153.0,ARM,51,Prostate,Male,Mortality,10.39087056,15.50143221,0.9856049503,208,Europe,2013,1.34,4196.00562301769,3.02,1.34,2.35,,0.0
2018,2909965.0,1341812.0,1568153.0,ARM,51,Cervix,Female,Mortality,2.351709815,3.698618693,0.2380610329,58,Europe,2013,1.34,4196.00562301769,3.02,1.34,2.35,,0.0
2022,2880874.0,1333939.0,1546936.0,ARM,51,Lung,Male,Mortality,48.37443946,69.94322829,5.944714697,933,Europe,2017,1.69,6571.97445545099,,,,,
2022,2880874.0,1333939.0,1546936.0,ARM,51,Lung,Female,Mortality,6.807145979,13.18736302,0.6911357782,204,Europe,2017,1.69,6571.97445545099,,,,,
2022,2880874.0,1333939.0,1546936.0,ARM,51,Breast,Female,Mortality,14.96633531,27.86153657,1.618366611,431,Europe,2017,1.69,6571.97445545099,,,,,
