Cancer label,Sex,Type,Year,ASR (World),Crude rate,Cumulative risk,Total,Country_harmonized,Region Name,RTCenters,Linac,Protontherapy,XRay,Brachytherapy,Last Update,Population,Population_male,Population_female,GDP_per_capita,RTCenters_m,Linac_m,Protontherapy_m,XRay_m,Brachytherapy_m
Lung,Female,Mortality,2010,9.685902965,24.41878174,1.190523845,667,Finland,Northern Europe,13,50,0,0,7,2020,5363350.0,2631847.0,2731504.0,46506.2919016566,2.423858222939021,9.322531626688543,0.0,0.0,1.305154427736396
Lung,Female,Mortality,2011,9.6369191,24.46535809,1.235572414,671,Finland,Northern Europe,13,50,0,0,7,2020,5388241.0,2645588.0,2742653.0,51060.3242589767,2.412661200566196,9.27946615602383,0.0,0.0,1.2991252618433362
Lung,Female,Mortality,2012,10.16849823,26.57697301,1.290912111,732,Finland,Northern Europe,13,50,0,0,7,2020,5413971.0,2659707.0,2754264.0,47551.6740841369,2.401194982389082,9.235365316881085,0.0,0.0,1.2929511443633517
Lung,Female,Mortality,2013,10.11905327,26.10818298,1.293483652,722,Finland,Northern Europe,13,50,0,0,7,2020,5439053.0,2673637.0,2765416.0,49691.0145200739,2.390121956892128,9.192776757277416,0.0,0.0,1.2869887460188383
Lung,Female,Mortality,2014,10.26547591,27.77981452,1.316387456,771,Finland,Northern Europe,13,50,0,0,7,2020,5461684.0,2686287.0,2775396.0,50073.7760815871,2.380218262352783,9.154685624433784,0.0,0.0,1.2816559874207296
Lung,Female,Mortality,2015,10.15075007,27.88483133,1.330197998,776,Finland,Northern Europe,13,50,0,0,7,2020,5479717.0,2696843.0,2782875.0,42560.3456767103,2.372385289240302,9.124558804770391,0.0,0.0,1.277438232667855
Lung,Female,Mortality,2016,10.16382942,27.82923037,1.321796617,776,Finland,Northern Europe,13,50,0,0,7,2020,5495469.0,2707034.0,2788435.0,43451.2562442158,2.365585175714757,9.098404521979834,0.0,0.0,1.2737766330771767
Lung,Female,Mortality,2017,9.648065282,27.53751584,1.220652342,769,Finland,Northern Europe,13,50,0,0,7,2020,5508396.0,2715842.0,2792554.0,46085.0174739036,2.3600336649725255,9.077052557586637,0.0,0.0,1.2707873580621292
Lung,Female,Mortality,2018,9.852857559,28.84324626,1.234414636,806,Finland,Northern Europe,13,50,0,0,7,2020,5515736.0,2721322.0,2794415.0,49654.2497035329,2.3568930782764075,9.064973377986185,0.0,0.0,1.2690962729180657
Lung,Female,Mortality,2019,9.557106344,29.86514902,1.138596018,835,Finland,Northern Europe,13,50,0,0,7,2020,5521759.0,2725858.0,2795901.0,48358.1807773701,2.354322236808959,9.055085526188304,0.0,0.0,1.2677119736663625
Lung,Female,Mortality,2020,10.13909806,31.05201659,1.312447815,869,Finland,Northern Europe,13,50,0,0,7,2020,5529612.0,2731082.0,2798530.0,48828.6846862799,2.350978694346005,9.042225747484634,0.0,0.0,1.2659116046478487
Lung,Female,Mortality,2021,9.784850615,30.57917929,1.224111994,857,Finland,Northern Europe,13,50,0,0,7,2020,5541075.0,2738515.0,2802561.0,53099.1351400148,2.3461151491362235,9.02351980437009,0.0,0.0,1.2632927726118126
Lung,Female,Mortality,2022,9.558367065,32.31200759,1.222204226,910,Finland,Northern Europe,13,50,0,0,7,2020,5569299.0,2753008.0,2816291.0,50440.560224974,2.3342255461594,8.977790562151538,0.0,0.0,1.2568906787012155
Lung,Male,Mortality,2007,41.91191511,73.26096883,4.989841402,22144,France,Western Europe,168,570,4,2,90,2023,62432439.0,30226191.0,32206249.0,41486.1907828787,2.690908807839463,9.129869169455322,0.06406925732951103,0.03203462866475552,1.441558289913998
Lung,Male,Mortality,2008,40.61316766,72.88370037,4.822605982,22153,France,Western Europe,168,570,4,2,90,2023,62780190.0,30394999.0,32385191.0,45464.8181385158,2.6760033698528147,9.07929714771491,0.06371436594887654,0.03185718297443827,1.4335732338497225
Lung,Male,Mortality,2009,40.60878738,73.27017486,4.830171093,22387,France,Western Europe,168,570,4,2,90,2023,63106463.0,30554042.0,32552421.0,41728.0884164132,2.6621678987142725,9.032355370637712,0.06338494996938744,0.03169247498469372,1.4261613743112176
Lung,Male,Mortality,2010,39.3903149,72.40247492,4.713346618,22234,France,Western Europe,168,570,4,2,90,2023,63417363.0,30708895.0,32708467.0,40694.8211697025,2.6491167726415874,8.98807476431967,0.06307420887241874,0.03153710443620937,1.4191696996294216
Lung,Male,Mortality,2011,39.01983516,72.50807093,4.671767468,22377,France,Western Europe,168,570,4,2,90,2023,63733777.0,30861392.0,32872385.000000004,43929.7840873812,2.635964913863492,8.94345238632256,0.06276106937770218,0.03138053468885109,1.4121240609982992
