Cancer label,Sex,Type,Year,ASR (World),Crude rate,Cumulative risk,Total,Country_harmonized,Country,Region Name,RTCenters,Linac,Protontherapy,XRay,Brachytherapy,Last Update,Population,Population_male,Population_female,GDP_per_capita
Lung,Female,Mortality,2022,17.57469425,42.82008525,2.337345152,1466,Serbia,Serbia,Southern Europe,9,39,0,1,5,2025,6791213.0,3230996.0,3560218.0,10024.8191112596
Lung,Male,Mortality,2022,18.28095025,39.54352602,1.935130401,787,Singapore,Singapore,South-Eastern Asia,11,28,3,0,6,2024,5649885.0,2919697.0,2730188.0,90299.0694637269
Lung,Female,Mortality,2022,8.715502606,21.36314124,0.8687887745,445,Singapore,Singapore,South-Eastern Asia,11,28,3,0,6,2024,5649885.0,2919697.0,2730188.0,90299.0694637269
Lung,Male,Mortality,2022,27.93621466,53.49145624,3.577573017,1421,Slovakia,Slovakia,Eastern Europe,13,24,0,7,6,2024,5473197.0,2672668.0,2800528.0,21317.7943982363
Lung,Female,Mortality,2022,9.429903899,23.34920575,1.174401678,648,Slovakia,Slovakia,Eastern Europe,13,24,0,7,6,2024,5473197.0,2672668.0,2800528.0,21317.7943982363
Lung,Male,Mortality,2022,29.88614385,71.36275614,3.696567072,16760,Spain,Spain,Southern Europe,126,262,3,21,135,2024,47828382.0,23485640.0,24342743.0,30319.4987196616
Lung,Female,Mortality,2022,10.15831132,24.51243939,1.330012139,5967,Spain,Spain,Southern Europe,126,262,3,21,135,2024,47828382.0,23485640.0,24342743.0,30319.4987196616
Lung,Male,Incidence,2022,14.10744949,36.3101191,1.726431102,1917,Sweden,Sweden,Northern Europe,18,80,1,27,23,2024,10487338.0,5279778.0,5207560.0,54836.8907235124
Lung,Male,Mortality,2022,10.69645962,30.24898781,1.198262479,1597,Sweden,Sweden,Northern Europe,18,80,1,27,23,2024,10487338.0,5279778.0,5207560.0,54836.8907235124
Lung,Female,Incidence,2022,17.41656994,46.14559463,2.257979347,2403,Sweden,Sweden,Northern Europe,18,80,1,27,23,2024,10487338.0,5279778.0,5207560.0,54836.8907235124
Lung,Female,Mortality,2022,11.71871808,36.48635972,1.433202215,1900,Sweden,Sweden,Northern Europe,18,80,1,27,23,2024,10487338.0,5279778.0,5207560.0,54836.8907235124
Lung,Male,Mortality,2022,17.50579254,43.2967472,2.019804518,1890,Switzerland,Switzerland,Western Europe,38,85,1,10,25,2024,8792182.0,4365224.0,4426958.0,94394.5106803525
Lung,Female,Mortality,2022,11.91558799,32.34726871,1.518683147,1432,Switzerland,Switzerland,Western Europe,38,85,1,10,25,2024,8792182.0,4365224.0,4426958.0,94394.5106803525
Lung,Male,Mortality,2022,19.45387794,40.43274371,2.247641979,69412,United States of America,United States of America,Northern America,2237,3892,44,6,638,2024,341534046.0,171672742.0,169861303.0,76657.2488844403
Lung,Female,Mortality,2022,15.22758354,36.83534678,1.776694665,62569,United States of America,United States of America,Northern America,2237,3892,44,6,638,2024,341534046.0,171672742.0,169861303.0,76657.2488844403
Lung,Male,Mortality,2022,32.82023521,52.96726125,4.128052794,871,Uruguay,Uruguay,South America,12,23,0,0,5,2025,3390913.0,1644412.0,1746501.0,20818.6146091144
Lung,Female,Mortality,2022,12.17596777,23.01742396,1.576480649,402,Uruguay,Uruguay,South America,12,23,0,0,5,2025,3390913.0,1644412.0,1746501.0,20818.6146091144
Breast,Female,Mortality,2022,11.23624997,27.48363029,1.16689989,5370,Canada,Canada,Northern America,52,296,0,14,52,2025,38821259.0,19282356.0,19538904.0,56256.8007264015
Breast,Female,Mortality,2022,9.836689472,15.37129459,1.083770222,395,Costa Rica,Costa Rica,Central America,5,12,0,1,1,2025,5081765.0,2512039.0,2569725.0,13625.9008491328
Breast,Female,Mortality,2022,11.07960313,25.45203881,1.034112383,120,Cyprus,Cyprus,Western Asia,2,10,0,1,3,2025,1331370.0,670824.0,660545.0,33231.04296875
Breast,Female,Mortality,2022,11.50132993,30.90706206,1.183571651,1694,Czechia,Czech Republic,Eastern Europe,36,67,1,30,16,2021,10673213.0,5262083.0,5411131.0,28282.2236715857
Breast,Female,Incidence,2022,89.80534572,169.780829,9.60417192,5047,Denmark,Denmark,Northern Europe,8,55,1,8,8,2020,5902904.0,2935843.0,2967061.0,67781.0940939514
Breast,Female,Mortality,2022,12.52059986,35.35485115,1.195668665,1049,Denmark,Denmark,Northern Europe,8,55,1,8,8,2020,5902904.0,2935843.0,2967061.0,67781.0940939514
Breast,Female,Mortality,2022,7.312578331,8.371503135,0.759204292,748,Ecuador,Ecuador,South America,12,35,0,0,5,2025,17823897.0,8888825.0,8935073.0,6515.58528418336
Breast,Female,Mortality,2022,11.54993333,32.70544517,1.289139032,232,Estonia,Estonia,Northern Europe,2,10,0,0,3,2025,1350091.0,640730.0,709362.0,28340.3826549406
Breast,Female,Incidence,2022,86.60645109,173.4443829,9.399464741,4870,Finland,Finland,Northern Europe,13,50,0,0,7,2020,5569299.0,2753008.0,2816291.0,50440.560224974
Breast,Female,Mortality,2022,10.72622345,30.57213025,1.17539362,861,Finland,Finland,Northern Europe,13,50,0,0,7,2020,5569299.0,2753008.0,2816291.0,50440.560224974
Breast,Female,Mortality,2022,13.43948028,36.67108782,1.410248587,12527,France,France,Western Europe,168,570,4,2,90,2023,66277409.0,32116982.0,34160427.0,40988.6396406579
Breast,Female,Mortality,2022,14.26338063,28.62444009,1.681037466,552,Georgia,Georgia,Western Asia,9,18,0,1,3,2025,3794784.0,1768050.0,2026734.0,6729.84659930283
Breast,Female,Mortality,2022,16.02122427,25.1914544,1.745260907,5764,Argentina,Argentina,South America,89,131,0,8,47,2025,45407904.0,22527129.0,22880775.0,13962.1894087223
Breast,Female,Mortality,2022,5.970389755,4.457333536,0.6429235012,401,Guatemala,Guatemala,Central America,5,9,0,1,3,2025,17847877.0,8851469.0,8996407.0,5358.70156997677
Breast,Female,Mortality,2022,16.13275461,41.75290358,1.796487517,2104,Hungary,Hungary,Eastern Europe,14,53,0,4,14,2025,9684306.0,4645135.0,5039171.0,18428.028825614
Breast,Female,Incidence,2022,94.67817824,146.6236139,10.77053276,272,Iceland,Iceland,Northern Europe,1,2,0,0,1,2018,380356.0,194847.0,185508.0,76350.4550416502
Breast,Female,Mortality,2022,10.79106925,23.98020202,1.138148941,3141,Australia,Australia,Australia and New Zealand,103,224,0,6,10,2025,26200984.0,13000471.0,13200513.0,65169.5191118657
Breast,Female,Mortality,2022,15.11352432,30.34950184,1.524840194,783,Ireland,Ireland,Northern Europe,12,42,0,4,14,2017,5110016.0,2530072.0,2579943.0,105190.685952731
Breast,Female,Mortality,2022,12.55138998,21.56406649,1.287488172,1037,Israel,Israel,Western Asia,12,37,0,2,14,2025,9103151.0,4528556.0,4574595.0,54949.621556429
Breast,Female,Mortality,2022,11.68628745,34.49189989,1.183285388,1588,Austria,Austria,Western Europe,17,58,1,8,20,2021,9064677.0,4460698.0,4603980.0,52336.7725223758
Breast,Female,Mortality,2022,5.603697692,11.1240252,0.6173184331,2861,South Korea,"Korea, Republic of",Eastern Asia,65,190,2,0,37,2023,51782512.0,25840655.0,25941857.0,34822.4048404971
Breast,Female,Mortality,2022,10.02124697,7.21714256,1.172517325,129,Kuwait,Kuwait,Western Asia,2,5,0,0,1,2021,4589511.0,2802100.0,1787410.0,39981.7691035833
Breast,Female,Mortality,2022,14.04409716,40.44834211,1.506904224,408,Latvia,Latvia,Northern Europe,6,15,0,2,1,2023,1881063.0,870579.0,1010484.0,20221.103686109
Breast,Female,Mortality,2022,14.56227075,36.74447889,1.611256697,555,Lithuania,Lithuania,Northern Europe,5,16,0,4,8,2024,2816919.0,1326195.0,1490725.0,25085.784063499
Breast,Female,Mortality,2022,12.65848497,30.83098761,1.295370452,100,Luxembourg,Luxembourg,Western Europe,1,4,0,0,2,2017,653313.0,328888.0,324425.0,123719.658915996
Breast,Female,Mortality,2022,18.96845769,31.39074334,1.976761027,200,Mauritius,Mauritius,Eastern Africa,1,5,0,0,1,2024,1276130.0,638999.0,637130.0,10246.5017455553
Breast,Female,Mortality,2022,9.927216949,11.51463413,1.081347717,7624,Mexico,Mexico,Central America,114,207,0,2,66,2025,128613117.0,62401721.0,66211395.99999999,11405.7940473759
Breast,Female,Mortality,2022,14.96633531,27.86153657,1.618366611,431,Armenia,Armenia,Western Asia,2,5,0,0,3,2025,2880874.0,1333939.0,1546936.0,6571.97445545099
Breast,Female,Mortality,2022,8.117853431,7.247984227,0.8697680485,248,Nicaragua,Nicaragua,Central America,1,5,0,1,1,2021,6730654.0,3309012.0,3421642.0,2322.89053964583
Breast,Female,Incidence,2022,91.49552428,156.0764098,9.687267476,4223,Norway,Norway,Northern Europe,10,44,0,7,12,2021,5456801.0,2751263.0,2705539.0,109269.520580298
Breast,Female,Mortality,2022,10.93979866,13.45715125,1.229062055,296,Panama,Panama,Central America,3,7,0,0,1,2025,4400773.0,2201198.0,2199575.0,17378.6070017557
Breast,Female,Mortality,2022,13.91561697,34.78520753,1.512069692,6611,Poland,Poland,Eastern Europe,47,173,2,0,24,2023,38385739.0,18604014.0,19781726.0,18891.2121169279
Breast,Female,Mortality,2022,12.51590946,34.6863198,1.26141728,1892,Portugal,Portugal,Southern Europe,24,57,0,0,17,2025,10417073.0,4962474.0,5454599.0,24620.5197587181
Breast,Female,Mortality,2022,19.13279054,48.07766734,2.135104736,1646,Serbia,Serbia,Southern Europe,9,39,0,1,5,2025,6791213.0,3230996.0,3560218.0,10024.8191112596
Breast,Female,Mortality,2022,10.94087237,23.0433883,1.23659893,480,Singapore,Singapore,South-Eastern Asia,11,28,3,0,6,2024,5649885.0,2919697.0,2730188.0,90299.0694637269
Breast,Female,Mortality,2022,15.66297991,36.284954,1.703907696,1007,Slovakia,Slovakia,Eastern Europe,13,24,0,7,6,2024,5473197.0,2672668.0,2800528.0,21317.7943982363
Breast,Female,Mortality,2022,9.995780327,27.42911979,1.039813427,6677,Spain,Spain,Southern Europe,126,262,3,21,135,2024,47828382.0,23485640.0,24342743.0,30319.4987196616
