Year,TAC,GammaC,MRI,Mammography,PET,ISO3
2018,0.25,0.045,0.16,0.0,0.0,KEN
2019,0.0,0.0,0.0,6.82,0.0,KEN
2022,0.0,0.0,0.0,0.0,0.0,KEN
2015,0.94,0.75,0.94,19.76,0.0,KGZ
2018,0.9,0.72,0.9,0.0,0.0,KGZ
2019,0.0,0.0,0.0,16.45,0.0,KGZ
2022,0.0,0.0,0.0,0.0,0.0,KGZ
2026,1.99,0.61,0.77,11.72,0.0,KGZ
2015,1.27,0.0,0.07,0.0,0.0,KHM
2018,1.19,0.0,0.066,0.0,0.0,KHM
2022,0.0,0.0,0.0,0.0,0.0,KHM
2015,0.0,0.0,0.0,0.0,0.0,KIR
2018,0.0,0.0,0.0,0.0,0.0,KIR
2019,0.0,0.0,0.0,0.0,0.0,KIR
2015,19.08,0.0,0.0,169.4,0.0,KNA
2018,18.45,0.0,0.0,0.0,0.0,KNA
2019,0.0,0.0,0.0,149.4,0.0,KNA
2015,36.17,8.26,20.44,444.6,3.22,KOR
2018,35.38,8.08,19.99,0.0,3.15,KOR
2019,0.0,0.0,0.0,402.3,0.0,KOR
2022,38.83,5.97,30.29,421.9,3.8,KOR
2022,0.0,0.0,0.0,0.0,0.0,KOR
2015,0.0,0.0,0.0,0.0,0.0,KWT
2018,0.0,0.0,0.0,0.0,0.0,KWT
2022,0.0,0.0,0.0,0.0,0.0,KWT
2015,0.81,0.0,0.0,0.0,0.0,LAO
2018,0.74,0.0,0.0,0.0,0.0,LAO
2019,0.0,0.0,0.0,0.0,0.0,LAO
2022,0.0,0.0,0.0,0.0,0.0,LAO
2015,28.62,0.24,9.46,380.0,1.42,LBN
2018,25.09,0.21,8.3,0.0,1.24,LBN
2019,0.0,0.0,0.0,370.2,0.0,LBN
2022,0.0,0.0,0.0,0.0,0.0,LBN
2015,0.0,0.0,0.0,0.0,0.0,LBR
2015,9.44,0.31,5.04,0.0,0.16,LBY
2018,9.68,0.32,5.16,0.0,0.16,LBY
2022,0.0,0.0,0.0,0.0,0.0,LBY
2015,11.48,0.0,11.48,164.7,0.0,LCA
2018,10.97,0.0,10.97,0.0,0.0,LCA
2019,0.0,0.0,0.0,131.1,0.0,LCA
2015,1.25,0.0,0.43,0.0,0.0,LKA
2018,1.69,0.0,0.42,2.81,0.0,LKA
2022,0.0,0.0,0.0,0.0,0.0,LKA
2015,18.05,2.11,5.72,89.34,0.0,LTU
2018,20.22,2.98,8.95,0.0,0.33,LTU
2019,0.0,0.0,0.0,82.53,0.0,LTU
2026,26.82,2.57,14.7,81.34,0.73,LTU
2015,19.71,17.74,13.79,183.0,1.97,LUX
2018,18.85,16.97,13.2,0.0,1.89,LUX
2019,0.0,0.0,0.0,168.3,0.0,LUX
2026,22.36,11.18,14.38,94.39,1.6,LUX
2015,0.0,0.0,0.0,0.0,0.0,LVA
2018,0.0,0.0,0.0,0.0,0.0,LVA
2022,39.24,3.71,13.79,177.8,1.06,LVA
2022,0.0,0.0,0.0,0.0,0.0,LVA
2015,1.25,0.0,0.38,20.12,0.0,MAR
2018,1.21,0.0,0.36,0.0,0.0,MAR
2019,0.0,0.0,0.0,18.46,0.0,MAR
2022,0.0,0.0,0.0,0.0,0.0,MAR
2015,141.2,28.24,141.2,651.7,28.24,MCO
2018,132.2,26.43,132.2,0.0,26.43,MCO
2019,0.0,0.0,0.0,599.3,0.0,MCO
2022,0.0,0.0,0.0,0.0,0.0,MCO
2015,2.24,1.12,0.28,40.84,0.0,MDA
2018,5.45,1.15,1.43,0.0,0.0,MDA
2019,0.0,0.0,0.0,40.95,0.0,MDA
2022,0.0,0.0,0.0,0.0,0.0,MDA
2015,0.14,0.0,0.0,6.99,0.0,MDG
2018,0.13,0.0,0.0,0.0,0.0,MDG
2019,0.0,0.0,0.0,6.23,0.0,MDG
2022,0.0,0.0,0.0,0.0,0.0,MDG
2015,6.33,0.0,3.17,64.42,0.0,MDV
2018,5.8,0.0,2.9,0.0,0.0,MDV
2019,0.0,0.0,0.0,57.09,0.0,MDV
2015,3.94,0.82,1.53,87.91,0.12,MEX
2018,3.65,0.76,1.41,0.0,0.11,MEX
2019,0.0,0.0,0.0,74.47,0.0,MEX
